Data transakcji,Dane kontrahenta,Kwota transakcji (waluta rachunku)
2025-01-28, . ICE AGA ,-20
2024-12-22, 1-MINUTE 34304  WARSZAWA  POL ,"-6,59"
2025-01-04, 1-MINUTE 34506  WARSZAWA  POL ,"-3,8"
2024-12-27, AGATA GARSTECKA ,118
2024-12-13, APPLE.COM/BILL  APPLE.COM/BIL  IRL ,"-49,99"
2024-12-27, APPLE.COM/BILL  APPLE.COM/BIL  IRL ,"-33,99"
2024-11-27, APPLE.COM/BILL  APPLE.COM/BIL  IRL ,"-33,99"
2025-01-13, APPLE.COM/BILL  APPLE.COM/BIL  IRL ,"-49,99"
2025-02-13, APPLE.COM/BILL  CORK  IRL ,"-49,99"
2024-12-13, APTEKI CENTRUM  WARSZAWA  POL ,"-48,99"
2024-11-23, AUCHAN POLSKA SP. Z  WARSZAWA  POL ,"-39,98"
2025-01-14, AUTOMAT SPEC SP ZOO SK  KASZOW  POL ,"-3,7"
2025-01-15, AUTOMAT SPEC SP ZOO SK  KASZOW  POL ,"-3,7"
2025-01-17, AUTOMAT SPEC SP ZOO SK  KASZOW  POL ,"-3,7"
2025-01-24, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,"-4,5"
2025-01-30, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,-4
2025-02-03, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,-4
2024-12-18, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,-5
2025-01-08, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,-5
2024-11-25, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,-5
2024-11-20, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,"-3,7"
2025-01-10, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,-5
2024-12-13, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,-5
2024-12-10, AUTOMAT SPEC SP ZOO SK  LISZKI  POL ,-5
2024-12-30, BEZ KREPACJI SP Z O O  WARSZAWA  PO ,-12
2025-01-05, BIG BOOK CAFE MDM  WARSZAWA  POL ,-14
2025-01-05, BIG BOOK CAFE MDM  WARSZAWA  POL ,-28
2025-01-06, BIG BOOK CAFE MDM  WARSZAWA  POL ,-28
2025-01-12, BIG BOOK CAFE MDM  WARSZAWA  POL ,-31
2025-01-25, BOLT.EU/D/2501251428  VIIMSI  EST ,"-112,36"
2025-02-02, BOLT.EU/D/2502021420  VIIMSI  EST ,"-57,49"
2024-11-26, BOLT.EU/O/2411260321  WARSAW  POL ,"-10,29"
2024-11-29, BOLT.EU/O/2411290349  WARSAW  POL ,"-10,28"
2024-11-26, CAFE KAFKA  WARSZAWA 00340 POL ,"-42,8"
2024-12-04, CARREFOUR  WARSZAWA  POL ,"-16,68"
2024-11-22, CARREFOUR EXPRESS  WARSZAWA  POL ,"-15,43"
2025-02-11, CASTORAMA WARSZAWA 5 8  WARSZAWA 01 ,"-15,98"
2025-02-08, CASTORAMA WARSZAWA 5 8  WARSZAWA 01 ,"-32,96"
2025-02-12, CASTORAMA WARSZAWA 5 8  WARSZAWA 01 ,"-54,94"
2025-01-29, CATHRIN.PL  WARSZAWA 03408 POL ,-9
2024-11-17, CEFARM-WARSZAWA S.A  WARSZAWA  POL ,"-85,59"
2024-12-22, CEFARM-WARSZAWA S.A  WARSZAWA  POL ,"-101,52"
2025-01-27, CEFARM-WARSZAWA S.A  WARSZAWA  POL ,"-128,91"
2025-01-08, CEFARM-WARSZAWA S.A  WARSZAWA  POL ,"-258,19"
2025-01-20, CEFARM-WARSZAWA S.A  WARSZAWA  POL ,"-24,61"
2024-12-19, CEFARM-WARSZAWA S.A  WARSZAWA  POL ,"-109,98"
2025-01-05, CEFARM-WARSZAWA S.A  WARSZAWA  POL ,"-44,96"
2024-12-16, CEFARM-WARSZAWA S.A  WARSZAWA  POL ,"-97,99"
